"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\src\Chart.js", "JavaScript", 7, 0, 1, 8
"Total", "-", 7, 0, 1, 8
