"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\src\Chart.js", "JavaScript", 9, 0, 1, 10
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\src\PieChart.js", "JavaScript", -4, -1, -6, -11
"Total", "-", 5, -1, -5, -1
